Discord Name,Squadron Name,Current Rank Id,Expected Rank Id,Due To Role
CMDR Moses Bishop,Moses Bishop,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Moxin,Moxin,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Cmdr Muz,MuzBee,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Nick Flinders,Nick Flinders,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Noel_UC,Noel_UC,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR NOTORYOU5,NOTORYOU5,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR NXL_Adam,NXl_Adam,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Oberon74,Oberon74,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR oOky,O0ky,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Panda71,Panda71,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Paul Gee,Paul gee,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Poizinis,Poizinis,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR powareverb/rohirrimnz,slartibartfastnz,Blow Ins,Bar Fly,EDAKL Veterans
CMDR Pro Majik,Pro Majik,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Punttherunter,punttherunter,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR RandomCitizen,RandomCitizen,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR REDRUM69,REDRUM69,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Riaan Jonker,Riaan Jonker,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR riptide,Riptide,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Rockwimp,Rockwimp,Regular Customer,Bar Fly,EDAKL Veterans
CMDR rp252,rp252,Regular Customer,Bar Fly,EDAKL Veterans
CMDR rUSTY_YOTE,rUSTY_YOTE,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR RX Queen,Rx Queen,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR SamMuel112,SamMuel112,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Scratching Minackers,Scratching Minackers,Bar Fly,Regular Customer,EDAKL Members (PC/MAC)
CMDR Seanmiddly,Seanmiddly,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Seeker101,Seeker1O1,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Sheepyx,Sheepyx,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Shimtoo,shimtoo,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Shiroikaze,ShiroiKaze,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Shoally,Shoally,Blow Ins,Bar Fly,EDAKL Veterans
CMDR Shootingblanks,ShootingBlanks35,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Sierra-Kilo-1,Sierra-Kilo-1,Bar Fly,Regular Customer,EDAKL Members (PC/MAC)
CMDR Simeon Grey,Simeon Grey,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Slim the Diabolical,Slim the Diabolical,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR SpaceRooster,Daroostershens,Blow Ins,Bar Fly,EDAKL Veterans
CMDR Spence96,Spence96,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR STIX1985NZ/STIKOLAS,rohirrimnz,Bar Fly,Regular Customer,EDAKL Members (Xbox)
CMDR Syn.au,Syn.au,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Terraso,terraso,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR TREV2530,Trev2530,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR TweedleDumV3,TweedleDumV3,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Vaelfynn,Vaelfynn,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Vorrain,vorrain,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Wickett,wickett,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR WORTHLE22,worthle22,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Xigorim,Xigorim,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR XXUltraViolentXX,xxUltraViolentxx,Bar Staff,Bar Fly,EDAKL Veterans
CMDR Ze_German,ze_german,Regular Customer,Bar Fly,EDAKL Veterans
CMDR ZeJackal [NZ],ZeJackal [NZ],Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
DahBigA,DahBigA,Bar Staff,Bar Fly,EDAKL Veterans
deadcatt,dead_catt,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Diomedes,Quilted,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Don,Testiculan Scrotomax,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Frogglez,Frogglez,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Ghostfpv,Ghostfpv,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Goatboy,G0ATB0Y,Bar Staff,Bar Fly,EDAKL Veterans
Grandpa Hangfireflip,Hangfireflip,Bar Staff,Bar Fly,EDAKL Veterans
HairyCactus,HairyCactus,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
ivo / J.R. Pufnstuf,J.R. Pufnstuf,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Jim Wolfe,Jim Wolfe,Bar Staff,Publican,Founder
John Freechman,John Freechman,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
JordyZ,JordyZ,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
M Harvey,M HARVEY,Bar Fly,Regular Customer,EDAKL Members (PC/MAC)
Major Jetlagg,Major Jetlagg,Bar Staff,Bar Fly,EDAKL Veterans
Nekminute,Nekminute,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Neorevan,nEOREVAN,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Old Kakapo,Old Kakapo,Regular Customer,Bar Fly,EDAKL Veterans
Ottocarius,Nowotny,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
outbreakmonkey,OutbreakMonkey,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Paul0,Paul0,Regular Customer,Bar Fly,EDAKL Veterans
Phreaddy,PHreaddy,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Power Maverick,Power Maverick,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Robbotech,Robbotech,Bar Staff,Bar Fly,EDAKL Veterans
SIR FatRichardDeanAnderson,MattyJTee,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Spakler,Spakler,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Svar Gairshan,Svar Gairshan,Regular Customer,Bar Fly,EDAKL Veterans
Torndo,Torndo,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
Trinideyus,Trinideyus,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
WontedLicense,Wonted License,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
